Idiom;Literal Meaning;Actual meaning;Meaning in Spanish;Image
In des Teufels Küche kommen;To come In the devil's kitchen;To get into hot water;Meterse en un lío;https://deutschlernerblog.de/wp-content/uploads/2017/04/in-Teufels-K%C3%BCche-kommen-Redewendungen-deutschlernerblog.png
Sich zum Affen machen;Make an ape of yourself;Make a fool of yourself;Hacer el ridículo;https://cdn.unitycms.io/image/ocroped/2001,2000,1000,1000,0,0/OsQRezQomiU/530pNcBgKtw92sNogU_C0z.jpg"
Dumm wie Bohnenstroh;As dumb as a bean straw;As thick as a brick;Tener pocas luces;https://i.pinimg.com/originals/36/f9/57/36f957f567c6bd8886a31f62b149de01.jpg
Um den heißen Brei herumreden;To talk around the hot porridge;To beat around the bush;Andarse con rodeos;https://www.urheber-prinzip.de/wp-content/uploads/2018/04/hei%C3%9Fen-brei.jpg
Wie seine Westentasche kennen;To know something like one’s waistcoat pocket;To know like the back of one’s hand;Saber como la palma de la mano;https://i.pinimg.com/originals/0a/07/b7/0a07b71a58fa31a68244b2665cf7fc7b.jpg
Tomaten auf den Augen Haben;To have tomatoes on your eyes;To be missing the obvious things going on around you;Perderte lo obvio de tu alrededor;https://www.nordkurier.de/sites/default/files/styles/bildformat_900x500/public/2015/03/30/tomatenaugen.jpg
Einen dicken Kopf haben;To have a fat head;He's got a hangover;Esta de resaca;https://www.swissmom.ch/filestorage/_processed_/d/3/csm_Baby_kopf_messen_FotoliaXL_1019a00b17.jpg
Da steppt der Bär;That’s where the bear dances;A great party;Una gran fiesta;https://image.spreadshirtmedia.net/image-server/v1/compositions/T56A494PA4115PT17X22Y84D143763138FS9676/views/1,width=650,height=650,appearanceId=494,backgroundColor=fff.jpg"
Vogel friss oder stirb;Bird eat or die;It’s a do or die situation;Es una situación de vida o muerte;https://www.reneschneider.de/wp-content/uploads/2015/09/15230708214_4037808e77_z.jpg
Es geht um die Wurst;It's about the sausage.;It's do or die / now or never / the moment of truth.;Ahora o nunca;https://static.tvno.nu/5042426?forceFit=0&height=720&quality=50&width=1280
Aus den augen, aus dem sinn;out of the eyes, out of the mind;Far from eye far from heart;Ojos que no ven corazón que no siente;https://webimg.secondhandapp.com/w-i-mgl/5bd5acdd2bc3ae7f345e5e38"
Du nimmst mich auf den Arm!;You’re taking me on your arm!;You’re pulling my leg!;Me estás tomando el pelo;https://i.pinimg.com/474x/b3/ba/c0/b3bac0dc7116faf72bb565709e5ee1e3.jpg
Ich verstehe nur Bahnhof;I only understand “train station.”;It’s all Greek to me;Me suena a chino;https://i.pinimg.com/originals/33/dd/7a/33dd7a1e2b694b2a86560d6170f3b217.png
Was ich nicht weiß, macht mich nicht heiß.;What I don't know doesn't make me cold;What you don't know, won't hurt you;Lo que no sabes, no te hará daño;https://www.umweltnetz-schweiz.ch/media/k2/items/cache/01c4e0043b7471c29e57e0370e5b4112_XL.jpg"
Die Katze im Sack kaufen;To buy a cat in a sack;To buy a pig in a poke;Comprar algo a ciegas;https://schroeder.imgix.net/bilder/Probefahrten_2020.jpg?fit=crop&ixlib=php-2.1.1&q=80&rect=549%2C231%2C2446%2C1834&w=1024&s=4977ef4244df35a228d8349084b79cc0
Man soll den Tag nicht vor dem Abend loben;Don’t praise the day before the evening.;Don’t count your chicks before they hatch;No cantes victoria antes de tiempo;https://i.pinimg.com/originals/26/05/09/26050978254c994a097105afa12fb345.jpg
Man reicht den kleinen Finger, und er nimmt die ganze Hand;You offer your little finger, and he takes the whole hand;If you offer some people a little help, they will take more;Le das la mano y te agarran el brazo;https://www.kidsgo.de/images/cms/4-babyjahr/055_fotolia_3549897_igor-stepovik_1.jpg?r=2739"
Himmel und Hölle in Bewegung setzen;Put heaven and hell in motion;To move heaven and earth;Mover cielo y tierra;https://pbs.twimg.com/media/ElBK1sYWMAE3_yY.jpg
Wo sich die Füchse gute Nacht sagen;Where the foxes say goodnight;The middle of nowhere/the back of beyond;En mitad de la nada;https://static.akpool.de/images/cards/211/2114005.jpg
Da liegt der Hase im Pfeffer;There’s a Rabbit in the Pepper;The fly in the ointment;La única pega;https://na-und.info/wp-content/uploads/2018/08/hase.jpg
Wenn man dem Teufel den kleinen Finger gibt, so nimmt er die ganze Hand;If you give the devil your little finger, he'll take the whole hand;Give an inch; they'll take a mile;Le das un dedo y se toma la mano;https://i.pinimg.com/736x/a9/63/69/a963698c58e0579a4b5e1ee72ce51216.jpg"
Wie die Kuh vorm neuen Tor dastehen;Like a cow standing in front of a new door;Confused;Estar confuso;https://img.fotocommunity.com/schon-besetzt-71e7cd95-8f33-41e6-ad95-1267098440fa.jpg?height=1080
Das ist mir Wurst;That is sausage to me!;It’s all the same to me;A mi me da igual;https://pbs.twimg.com/media/DBA--m8XcAA7hgX.jpg
Ein Fisch auf dem Trockenen;A fish on the dry;A fish out of water;Estar como pez fuera del agua;https://media.istockphoto.com/vectors/fish-out-of-water-vector-id467027585?k=6&m=467027585&s=612x612&w=0&h=pK0ATkvQ-8qJ-rK8QlejXr5x7eiPmJzgoIUi4fmDsp4=
Stochere nicht im Bienenstock.;Don't poke around in the beehive.;Let sleeping dogs lie.;No marear la perdiz;https://www.wikihow.com/images_en/thumb/8/8c/Get-Rid-of-Bees-Step-1-Version-2.jpg/v4-460px-Get-Rid-of-Bees-Step-1-Version-2.jpg.webp
Ich bin fix und fertig;I’m quick and ready;I’m wiped out or I’m exhausted;Estar agotado;http://up.picr.de/30686119qe.jpg
Was Hänschen nicht lernt, lernt Hans nimmermehr;What little Hans didn't learn, adult Hans never will;You can't teach an old dog new tricks;Loro viejo no aprende a hablar;https://static.dw.com/image/19217000_403.jpg"
Weggehen wie warme Semmeln;Go like warm rolls;To sell like hot cakes;Venderse como rosquillas;https://i.pinimg.com/originals/85/16/5b/85165b57b1b56f3172f6c7d5a64a69c9.jpg
Wo sich Hase und Fuchs Gute Nacht sagen;Where the rabbit and the fox say good night;A place out in the middle of nowhere;En mitad de la nada;https://i.etsystatic.com/18525473/r/il/ac942a/1708450778/il_570xN.1708450778_lks8.jpg
Die beleidigte Leberwurst spielen;To play the insulted liver sausage;The last one;Hacerse el ofendido;https://chatterbug-community.global.ssl.fastly.net/optimized/2X/6/62f5d560e847bfc2013d9b948c4eaf2f5f20e6ef_2_1024x1024.png
Weiß der Kuckuck;What does the Cuckoo know;God only knows!;¡Dios sabe! ;https://i1.sndcdn.com/artworks-000216190930-noqye5-t500x500.jpg
Alle Jubeljahre einmal;Once every jubilee year;Once in a blue moon;De higos a brevas;https://www.blueprints.de/images/apix/alle-jubeljahre-wieder-titelbild-1000.jpg
Alles hat ein Ende, nur die Wurst hat zwei;Everything has an end; only the sausage has two;Everything must end;Todo tiene un fin;https://pbs.twimg.com/media/EXrjhwYX0AQS8lQ.jpg"
Den Nagel auf den Kopf treffen;To hit the nail on the head;To hit the nail on the head;Dar en el clavo;https://i.pinimg.com/originals/69/b3/c9/69b3c9839ab3bc468bcc240c341f1707.jpg
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
